# 1 -- Star Name
# 2 -- X position (arcsec, increasing to the East)
# 3 -- Y position (arcsec, increasing to the North)
# 4 -- X velocity (mas/yr)
# 5 -- Y velocity (mas/yr)
# 6 -- t0 (year)
# 7 -- Variable? flag
# Bandpass Calibration Details:
# Older calibrations not in use anymore are denoted by '_o[#]' suffix to indicate 'old' and 'old version number'
# Default calibrators are listed after each magnitude column header entry.
# Error column indicates uncertainties in the reference magnitude for star (older calibrations did not use this)
# Filt -- Kp: K' band (Abhimat 20190729) -- irs16NW,S3-22,S1-17,S1-34,S4-3,S1-1,S1-21,S3-370,S3-88,S3-36,S2-63
# Filt -- K: K band (Zhuo, Abhimat 20181102) -- irs16NW,S1-17,S1-34,S1-1,S0-14,S1-21
# Filt -- H: H band (Abhimat 20190729) -- irs16NW,S3-22,S1-17,S1-34,S4-3,S1-1,S1-21,S3-370,S3-88,S3-36,S2-63
# Filt -- K_o1: K band (Blum et al. 1996) -- irs16C,irs16NW,irs16NE
# Filt -- Kp_o1: K' band estimated from Keck data -- irs16C,irs16NW,irs16NE
# Filt -- Lp_o1: L' band (Wright et al. in prep) -- irs16C,irs16NW,irs16NE
# Filt -- H_o1: H band (Blum et al. 1996) -- irs16C,irs16NW,irs16NE
# Filt -- Ms_o1: Ms band (Hornstein et al. in prep) -- irs16C,irs16NW
# Filt -- K_o2: K band (Rafelski et al. calibrated from Blum et al. 1996) -- irs16C,irs16NE,irs16SW-E,S2-16,S1-23,S1-3,S1-5,S2-22,S2-5,S1-68,S0-13,S1-25
#Star           x_pos           y_pos           x_vel           y_vel           t0          var?    Kp              Kp_err          K               K_err           H               H_err           K_o1            K_o1_err        Kp_o1           Kp_o1_err       Lp_o1           Lp_o1_err       H_o1            H_o1_err        Ms_o1           Ms_o1_err       K_o2            K_o2_err
S4-22            -2.364          -3.300          -1.192          -0.827         2011.517    0       15.1466          0.0261          0.00            0.00           17.3392          0.0239          0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S4-169            4.413           0.277          -2.554           4.306         2009.685    0       13.44            0.00           13.44            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S4-314            4.411          -2.028          -0.173           2.750         2010.897    0       15.22            0.00           15.22            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S5-69            -5.162           0.810           2.516           6.753         2009.526    0        0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00           10.10            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S5-183            4.601          -3.439          -4.294          -1.770         2008.181    0       11.47            0.00           11.47            0.00            0.00            0.00            0.00            0.00           11.50            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S7-9             -5.684           5.607           3.050           3.820         2009.177    0        0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00           11.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S7-18            -5.520          -5.546          -0.517           5.654         2009.777    0        0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00           13.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S8-3             -6.528           5.944          -5.987           4.370         2007.703    0        0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00           11.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S8-8              5.256          -7.070           0.399           0.863         2010.061    0        0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00           12.10            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
S9-3             -3.399          -8.515          -0.707           5.513         2009.768    0        0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00           10.60            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00            0.00
