# version: 1_001
# Absolute Astrometry Derived From: 
# Dir = /u/shoko/AbsoluteRef2017/H_ver2_jknife/
# Number of IR Mosaics = 13
# Scale = 999.9369 +/- 0.0518 mas/pix
# Angle = 0.074 +/- 0.001 deg
# x0err = 0.374 mas
# y0err = 0.336 mas
#
#Name           K         x       y    xerr    yerr         vx       vy    vxerr    vyerr         t0 use?     r2d
#()         (mag)    (asec)  (asec)  (asec)  (asec)   (mas/yr) (mas/yr) (mas/yr) (mas/yr)     (year)   ()  (asec)
S4-258       12.8    -4.40625  -1.63028   0.00032   0.00026     -4.377    1.639    0.086    0.075   2011.144    1   4.698
irs34NW      13.5    -3.78267   2.82083   0.00030   0.00028     -5.429   -4.085    0.075    0.059   2010.971    1   4.719
S4-287       13.8     0.13880  -4.76790   0.00025   0.00027      2.888    1.246    0.075    0.089   2011.534    1   4.770
S4-295       15.2    -3.08178   3.66805   0.00028   0.00051      3.224    1.562    0.089    0.135   2011.793    1   4.791
S4-314       15.3     4.40972  -2.02635   0.00022   0.00066     -0.205    2.163    0.061    0.197   2012.389    1   4.853
S4-315       14.9     4.81535   0.84243   0.00018   0.00041      3.012   -3.154    0.045    0.137   2011.751    1   4.888
S4-319       14.0     4.68660  -1.37844   0.00022   0.00027      2.277    1.431    0.065    0.100   2011.167    1   4.885
S4-342       13.8     3.06683   3.85731   0.00019   0.00025      0.827   -3.196    0.041    0.052   2011.946    1   4.928
S4-344       12.8    -1.43600  -4.71958   0.00029   0.00029     -1.005    1.408    0.094    0.080   2011.277    1   4.933
S4-352       14.6    -4.88026  -0.88743   0.00035   0.00036      2.028   -1.891    0.059    0.116   2011.344    1   4.960
S5-12        14.9    -4.27287  -2.62507   0.00044   0.00032      1.631    5.686    0.144    0.076   2011.698    1   5.015
S5-31        14.8    -4.33318   2.65339   0.00045   0.00051      3.143    1.301    0.108    0.128   2011.926    1   5.081
S5-34        13.8    -4.33742  -2.74519   0.00033   0.00029     -3.341   -2.429    0.082    0.074   2010.872    1   5.133
S5-43        14.3     1.83962  -4.79707   0.00027   0.00023     -1.560   -2.199    0.093    0.075   2011.454    1   5.138
S5-47        13.3     2.86925   4.30926   0.00021   0.00018      0.307    5.019    0.058    0.049   2011.401    1   5.177
S5-69        10.1    -5.15722   0.81769   0.00038   0.00022      2.829    6.299    0.094    0.052   2011.132    1   5.222
S5-71        14.0    -1.74754  -4.94467   0.00022   0.00034      1.212   -1.308    0.062    0.097   2011.239    1   5.244
S5-83        14.5     5.19643  -0.95429   0.00022   0.00014     -3.298   -5.761    0.074    0.035   2011.727    1   5.283
S5-89        11.0    -0.77850  -5.24598   0.00021   0.00024      9.284    0.536    0.043    0.061   2011.650    1   5.303
S5-92        13.6     4.28332   3.16003   0.00024   0.00026     -2.324   -2.878    0.066    0.079   2010.619    1   5.323
S5-94        15.2     4.91972   2.13066   0.00023   0.00064      0.996    6.157    0.055    0.173   2011.587    1   5.361
S5-95        13.5    -1.94552  -4.99490   0.00030   0.00037     -3.321   -3.738    0.105    0.109   2010.940    1   5.360
S5-99        14.7     4.61861  -2.73949   0.00025   0.00027      5.490   -0.428    0.058    0.061   2011.298    1   5.370
S5-115       13.9    -5.16325  -1.54887   0.00036   0.00040      4.922    5.038    0.098    0.094   2011.035    1   5.391
S5-131       15.2     4.88756  -2.53970   0.00028   0.00054      5.661    3.641    0.067    0.141   2012.451    1   5.508
S5-134       13.5    -0.53484  -5.45537   0.00042   0.00039     -2.099    4.638    0.138    0.102   2011.484    1   5.482
S5-141       15.2     4.33740  -3.40725   0.00020   0.00042     -3.299    4.133    0.058    0.168   2011.440    1   5.516
S5-145       14.1    -0.57898  -5.54149   0.00038   0.00027     -7.109    0.297    0.118    0.077   2011.606    1   5.572
S5-155       15.5     4.71791   3.01207   0.00047   0.00054     -2.622   -3.353    0.137    0.140   2011.936    1   5.597
S5-168       14.1     4.36850   3.61517   0.00025   0.00023     -2.413   -0.519    0.065    0.057   2011.459    1   5.670
S5-174       14.4    -4.16402  -3.94157   0.00039   0.00041     -8.148    2.079    0.144    0.112   2011.043    1   5.734
S5-183       11.4     4.58622  -3.44662   0.00018   0.00016     -4.553   -2.021    0.050    0.038   2011.364    1   5.737
S5-231       12.2     5.81326   0.11535   0.00018   0.00018     -0.138    6.510    0.039    0.044   2011.992    1   5.814
S5-185       13.8     3.00209  -4.91793   0.00023   0.00026     -5.591    1.357    0.081    0.087   2010.889    1   5.762
S5-187       13.3    -1.71298  -5.55070   0.00022   0.00030     -0.909   -4.174    0.065    0.098   2010.996    1   5.809
S5-191       12.9     3.17981  -4.89063   0.00024   0.00023     -1.504   -3.813    0.076    0.064   2011.281    1   5.833
S5-196       15.5    -4.59539   3.58080   0.00050   0.00045      0.183   -5.188    0.181    0.126   2011.741    1   5.826
S5-198       14.6     0.51584  -5.81185   0.00033   0.00030      4.284    2.936    0.100    0.108   2011.727    1   5.835
S5-199       14.2    -4.20296  -4.08259   0.00032   0.00039      0.062   -1.116    0.106    0.111   2011.344    1   5.859
S5-202       14.1    -0.50609  -5.85064   0.00041   0.00031      5.348   -1.580    0.160    0.075   2010.856    1   5.872
S5-205       14.1    -0.91580  -5.80585   0.00017   0.00027     -1.214    1.632    0.063    0.083   2011.476    1   5.878
S5-211       13.1     4.45448  -3.89468   0.00018   0.00023     -0.582    4.291    0.063    0.082   2011.730    1   5.917
S5-213       12.7     4.98049  -3.25682   0.00017   0.00017      1.128    0.952    0.052    0.045   2011.285    1   5.951
S6-3         13.7    -0.01319  -6.00830   0.00018   0.00049     -2.111    3.242    0.046    0.189   2010.995    1   6.008
S6-12        11.3    -0.20581  -6.07975   0.00017   0.00022     -0.334    2.356    0.041    0.065   2011.158    1   6.083
S6-24        14.3     5.09717   3.59352   0.00020   0.00028      3.466    1.939    0.036    0.098   2011.411    1   6.237
S6-25        13.7     0.71098  -6.17929   0.00027   0.00025     -3.145   -4.580    0.090    0.065   2011.039    1   6.220
S6-27        12.1     4.07505  -4.67322   0.00018   0.00013     -0.857    3.325    0.058    0.030   2011.329    1   6.200
S6-35        12.5    -4.91044  -3.97413   0.00040   0.00032     -1.209   -5.575    0.114    0.088   2011.093    1   6.317
irs9W        12.2     2.90292  -5.58576   0.00021   0.00020      5.442    3.421    0.070    0.064   2011.102    1   6.295
S6-39        14.1     2.51468  -5.79643   0.00029   0.00028      0.819   -5.115    0.098    0.096   2010.325    1   6.318
S6-49        14.3    -2.84345  -5.77955   0.00021   0.00040      3.772   -7.546    0.071    0.091   2011.206    1   6.441
S6-51        15.5     4.98144   4.07902   0.00047   0.00033     -2.627    1.015    0.134    0.090   2012.777    1   6.438
S6-58        13.2     3.21890  -5.64235   0.00019   0.00017      0.441    5.761    0.065    0.029   2010.678    1   6.496
S6-63        11.2     1.87246  -6.30552   0.00022   0.00018      5.912    1.653    0.073    0.057   2011.258    1   6.578
S6-64        14.5    -3.03938  -5.86523   0.00038   0.00045      1.282   -4.583    0.126    0.119   2011.074    1   6.606
S6-71        14.8     5.24587   4.31403   0.00021   0.00031     -3.858    1.942    0.050    0.088   2011.374    1   6.792
S6-76        13.4     5.17482  -4.52341   0.00014   0.00019     -1.129    0.351    0.043    0.052   2011.652    1   6.873
S6-78        15.1     4.36304  -5.38796   0.00042   0.00046     -5.595   -3.132    0.147    0.153   2012.582    1   6.933
S6-81        11.1     6.35309   0.27247   0.00020   0.00023     -2.685    5.064    0.048    0.051   2010.344    1   6.359
S6-82        13.5     6.72154  -0.45752   0.00022   0.00047      1.669    4.902    0.068    0.163   2011.289    1   6.737
S6-83        10.5     6.91954   0.88775   0.00020   0.00011      2.100   -2.132    0.061    0.037   2011.371    1   6.976
S6-84        10.8     6.96623  -0.21043   0.00016   0.00010      0.632   -2.405    0.040    0.024   2011.328    1   6.969
S6-85        12.2     6.23522  -1.43047   0.00019   0.00021      2.717    4.037    0.048    0.057   2011.167    1   6.397
S6-86        12.4     5.75982   2.17894   0.00019   0.00016     -1.293   -4.074    0.050    0.046   2011.082    1   6.158
S7-3         14.1     4.17631  -5.79358   0.00019   0.00033      2.224    2.868    0.072    0.128   2011.626    1   7.142
S7-8         10.3     7.05943   1.85818   0.00016   0.00015      3.834    1.141    0.045    0.048   2011.322    1   7.300
S7-5         12.0     4.86239  -5.51783   0.00017   0.00011      2.421    5.216    0.056    0.031   2011.319    1   7.355
S9-1         12.7     9.44432   0.26889   0.00017   0.00018     -2.548   -2.991    0.033    0.086   2010.435    1   9.448
S9-2         13.3     6.93641  -6.41851   0.00023   0.00020      2.363   -0.237    0.071    0.058   2011.398    1   9.450
S10-169      15.4     8.90930   5.19852   0.00031   0.00024     -1.007    2.629    0.093    0.060   2012.014    1  10.315
S10-1         9.8    10.53065   1.24022   0.00010   0.00011      0.377    1.773    0.023    0.023   2011.639    1  10.603
