|         epoch | filt | nights_combo | num_frames |          med_fwhms |         med_strehls | num_stf_legacy_detections | num_stf_singPSF_detections | num_stf_legacy_detections_faint | num_stf_singPSF_detections_faint | num_stf_legacy_detections_bright | num_stf_singPSF_detections_bright | num_legonly_detections | num_singonly_detections | num_legonly_faint_detections | num_singonly_faint_detections | num_legonly_bright_detections | num_singonly_bright_detections |
| 20190420nirc2 |   kp | single_night |        112 | 63.245000000000005 |                0.36 |                    1081.0 |                     1358.0 |                           291.0 |                            502.0 |                            790.0 |                             856.0 |                  141.0 |                   418.0 |                         94.0 |                         292.0 |                          47.0 |                          126.0 |
| 20190513nirc2 |   kp | single_night |         68 | 60.105000000000004 |               0.375 |                    1090.0 |                     1103.0 |                           289.0 |                            279.0 |                            801.0 |                             824.0 |                  187.0 |                   200.0 |                        123.0 |                         113.0 |                          64.0 |                           87.0 |
| 20190523nirc2 |   kp | single_night |        139 |              60.36 |                0.37 |                    1082.0 |                     1147.0 |                           288.0 |                            309.0 |                            794.0 |                             838.0 |                  185.0 |                   250.0 |                        123.0 |                         141.0 |                          62.0 |                          109.0 |
| 20190625nirc2 |   kp | single_night |         12 |              75.44 |                0.24 |                     856.0 |                      814.0 |                           168.0 |                            174.0 |                            688.0 |                             640.0 |                  103.0 |                    61.0 |                         37.0 |                          39.0 |                          66.0 |                           22.0 |
| 20190630nirc2 |   kp | single_night |         10 |              56.04 |               0.415 |                    1126.0 |                     1331.0 |                           373.0 |                            540.0 |                            753.0 |                             791.0 |                   97.0 |                   302.0 |                         75.0 |                         240.0 |                          22.0 |                           62.0 |
| 20190814nirc2 |   kp | single_night |         34 |  67.39500000000001 |               0.295 |                    1034.0 |                     1134.0 |                           267.0 |                            370.0 |                            767.0 |                             764.0 |                   96.0 |                   196.0 |                         43.0 |                         144.0 |                          53.0 |                           52.0 |
| 20190818nirc2 |   kp | single_night |         13 |              62.57 |                0.33 |                    1061.0 |                     1000.0 |                           212.0 |                            283.0 |                            849.0 |                             717.0 |                  124.0 |                    63.0 |                         62.0 |                          46.0 |                          62.0 |                           17.0 |
| 20190819nirc2 |   kp | single_night |         23 |               70.3 |                 0.3 |                    1159.0 |                     1079.0 |                           360.0 |                            232.0 |                            799.0 |                             847.0 |                  183.0 |                   103.0 |                        120.0 |                          77.0 |                          63.0 |                           26.0 |
| 20200707nirc2 |   kp | single_night |        169 |              70.29 |                0.28 |                    1181.0 |                     1237.0 |                           359.0 |                            415.0 |                            822.0 |                             822.0 |                  161.0 |                   217.0 |                        110.0 |                         162.0 |                          51.0 |                           55.0 |
| 20200809nirc2 |   kp | single_night |         32 |              69.56 |                0.26 |                     939.0 |                      943.0 |                           189.0 |                            198.0 |                            750.0 |                             745.0 |                  103.0 |                   107.0 |                         54.0 |                          51.0 |                          49.0 |                           56.0 |
| 20210429nirc2 |   kp | single_night |        111 |              48.55 |                0.48 |                    1118.0 |                     2024.0 |                           223.0 |                            918.0 |                            895.0 |                            1106.0 |                   77.0 |                   983.0 |                         56.0 |                         822.0 |                          21.0 |                          161.0 |
| 20210513nirc2 |   kp | single_night |         67 |              75.52 |                0.23 |                     906.0 |                      991.0 |                           123.0 |                            205.0 |                            783.0 |                             786.0 |                   85.0 |                   170.0 |                         39.0 |                         119.0 |                          46.0 |                           51.0 |
| 20210514nirc2 |   kp | single_night |        122 |             63.025 |                0.32 |                    1013.0 |                     1162.0 |                           159.0 |                            257.0 |                            854.0 |                             905.0 |                  109.0 |                   258.0 |                         61.0 |                         167.0 |                          48.0 |                           91.0 |
| 20210713nirc2 |   kp | single_night |         10 |              67.73 | 0.30000000000000004 |                     926.0 |                     1001.0 |                           190.0 |                            268.0 |                            736.0 |                             733.0 |                   65.0 |                   140.0 |                         25.0 |                         101.0 |                          40.0 |                           39.0 |
| 20210714nirc2 |   kp | single_night |         31 |              82.95 |                0.22 |                     778.0 |                      801.0 |                            89.0 |                            129.0 |                            689.0 |                             672.0 |                   65.0 |                    88.0 |                         15.0 |                          47.0 |                          50.0 |                           41.0 |
| 20210812nirc2 |   kp | single_night |         12 |             53.275 |                0.46 |                    1188.0 |                     1434.0 |                           359.0 |                            567.0 |                            829.0 |                             867.0 |                   52.0 |                   298.0 |                         39.0 |                         241.0 |                          13.0 |                           57.0 |
| 20210813nirc2 |   kp | single_night |        115 |              59.67 |                0.39 |                    1256.0 |                     1253.0 |                           411.0 |                            390.0 |                            845.0 |                             863.0 |                  222.0 |                   219.0 |                        169.0 |                         144.0 |                          53.0 |                           75.0 |
| 20210814nirc2 |   kp | single_night |         15 |              71.49 |                0.28 |                     910.0 |                      960.0 |                           169.0 |                            223.0 |                            741.0 |                             737.0 |                   80.0 |                   130.0 |                         30.0 |                          80.0 |                          50.0 |                           50.0 |
| 20210815nirc2 |   kp | single_night |         36 |             50.185 |                0.47 |                    1756.0 |                     1835.0 |                           867.0 |                            939.0 |                            889.0 |                             896.0 |                  160.0 |                   239.0 |                        146.0 |                         223.0 |                          14.0 |                           16.0 |
| 20210821nirc2 |   kp | single_night |         45 |              51.85 |                0.43 |                    1362.0 |                     1537.0 |                           489.0 |                            659.0 |                            873.0 |                             878.0 |                  114.0 |                   289.0 |                         87.0 |                         253.0 |                          27.0 |                           36.0 |
| 20220514nirc2 |   kp | single_night |        118 |              57.78 |                 0.4 |                    1359.0 |                     1462.0 |                           493.0 |                            557.0 |                            866.0 |                             905.0 |                  209.0 |                   312.0 |                        180.0 |                         244.0 |                          29.0 |                           68.0 |
| 20220515nirc2 |   kp | single_night |         20 |              69.13 |                0.27 |                     903.0 |                      922.0 |                           177.0 |                            205.0 |                            726.0 |                             717.0 |                   93.0 |                   112.0 |                         39.0 |                          61.0 |                          54.0 |                           51.0 |
| 20220521nirc2 |   kp | single_night |         48 |               55.1 |                0.44 |                    1364.0 |                     1867.0 |                           513.0 |                            976.0 |                            851.0 |                             891.0 |                  108.0 |                   612.0 |                         86.0 |                         545.0 |                          22.0 |                           67.0 |
| 20220525nirc2 |   kp | single_night |         57 |              59.63 |                0.39 |                    1103.0 |                     1193.0 |                           295.0 |                            362.0 |                            808.0 |                             831.0 |                  145.0 |                   235.0 |                        100.0 |                         162.0 |                          45.0 |                           73.0 |
